Distributor Code,Distributor Name,Depot Name,Original Delivery,Original Delivery Day,Original Modified,Original Modified Day,Reason,Raised By
289,R.K.AGENCIES,D117 - Zirakpur,11/09/2023,Monday,NA,,Normal PDP,
2903,ANAND SALES CORPORATION,D233 - Patna,11/09/2023,Monday,NA,,Normal PDP,
291,MAHAJAN ENTERPRISES,D117 - Zirakpur,11/09/2023,Monday,NA,,Normal PDP,
3083,M/S SUBHAM AGENCY PVT LTD,D236 - Guwahati,11/09/2023,Monday,NA,,Normal PDP,
3151,Patchipulusu Samba Murty & Sons,D572 - Vijaywada,11/09/2023,Monday,NA,,Normal PDP,
3154,Shree Veerabhadreshwra Marketing,D677 - Hubli,11/09/2023,Monday,NA,,Normal PDP,
325,BAJRANG AGENCIES,D248 - Nagpur II,11/09/2023,Monday,NA,,Normal PDP,
3271,Pals Distributors,D676 - Coimbatore,11/09/2023,Monday,NA,,Normal PDP,
3287,Thettayil Marketing,D676 - Coimbatore,11/09/2023,Monday,NA,,Normal PDP,
3291,B&B Traders,D676 - Coimbatore,11/09/2023,Monday,NA,,Normal PDP,
3323,SHREE BALAJI TRADERS,D117 - Zirakpur,11/09/2023,Monday,NA,,Normal PDP,
3335,V&V TRADERS,D676 - Coimbatore,11/09/2023,Monday,NA,,Normal PDP,
342,PRASHANT DISTRIBUTORS,D461 - Pune,11/09/2023,Monday,NA,,Normal PDP,
3438,GAURI SHANKAR AGENCY,D232 - Siliguri,11/09/2023,Monday,NA,,Normal PDP,
349,SANDEEP TRADING CO.,D3A4 - Solapur,11/09/2023,Monday,NA,,Normal PDP,
3512,SRI MALLIKHARJUNA CORPORATION,D572 - Vijaywada,11/09/2023,Monday,NA,,Normal PDP,
3549,SITANI DISTRIBUTORS,D232 - Siliguri,11/09/2023,Monday,NA,,Normal PDP,
3598,JAY GURU ENTERPRISE,D231 - Kolkata 1,11/09/2023,Monday,NA,,Normal PDP,
361,GODANE BROTHERS,D3A4 - Solapur,11/09/2023,Monday,NA,,Normal PDP,
367,ZELE ASSOCIATES,D3A4 - Solapur,11/09/2023,Monday,NA,,Normal PDP,
3820,Shri Ram Agencies,D677 - Hubli,11/09/2023,Monday,NA,,Normal PDP,
384,SHRI SATYANARAYAN TRADERS,D461 - Pune,11/09/2023,Monday,NA,,Normal PDP,
388,SACHIN AGENCIES,D461 - Pune,11/09/2023,Monday,NA,,Normal PDP,
408,UDHAYAEM TRADERS,D676 - Coimbatore,11/09/2023,Monday,NA,,Normal PDP,
4132,B.L. AGARWALA & SONS,D232 - Siliguri,11/09/2023,Monday,NA,,Normal PDP,
4245,JALARAM JYOT AGENCIES,D356 - Bhiwandi 2,11/09/2023,Monday,NA,,Normal PDP,
4257,YOGI ENTERPRISES,D676 - Coimbatore,11/09/2023,Monday,NA,,Normal PDP,
437,GOVIND AGENCIES,D314 - Jaipur,11/09/2023,Monday,NA,,Normal PDP,
4525,SEASON TRADERS,D676 - Coimbatore,11/09/2023,Monday,NA,,Normal PDP,
4536,PRAHLADRAI VINOD KUMAR,D535 - Cuttack,11/09/2023,Monday,NA,,Normal PDP,
454,MURLIDHAR PEETY & SONS,D314 - Jaipur,11/09/2023,Monday,NA,,Normal PDP,
