"TransactionID			",Report Type,Status,ProcessLog,RunDate
This Is Start Line,This Is Start Line,This Is Start Line,This Is Start Line,This Is Start Line
 RPA Team<br>-------------------------------------------------------------------<br>This is auto generated email, please do no reply on this email.,26-05-2023 05:17:02
General,General,General,Reading Config File....,26-05-2023 05:17:08
General,General,General,Config Data has been added to dictionary,26-05-2023 05:17:09
General,General,General,Total Number of Transaction to be Processed:3,26-05-2023 05:17:09
General,General,General,Folder is Created at location for output folder:Data\Output\26-05-2023\NCARD_19,26-05-2023 05:17:09
General,General,General,Output Report File Creation Completed,26-05-2023 05:17:09
General,General,General,Website Accessible,26-05-2023 05:17:18
TR-1,General,Process,Processing Transaction Number:1,26-05-2023 05:17:18
TR-1,General,Process,Transaction Started for Transaction ID:TR-1,26-05-2023 05:17:18
TR-2,General,Process,Processing Transaction Number:2,26-05-2023 05:17:21
TR-2,General,Process,Transaction Started for Transaction ID:TR-2,26-05-2023 05:17:21
TR-3,General,Process,Processing Transaction Number:3,26-05-2023 05:17:24
TR-3,General,Process,Transaction Started for Transaction ID:TR-3,26-05-2023 05:17:24
General,General,General,RPA {Your Process} Process Interrupted due to :The maximum number of consecutive system exceptions was reached.  Consecutive retry number: 2 at:System.Activities,26-05-2023 05:17:29
General,General,Process,Dear Team,<br><br>Robot has started RPA Piramal Reports Automation.<br><br>Thanks and Regards,<br>
 RPA Team<br>-------------------------------------------------------------------<br>This is auto generated email, please do no reply on this email.,26-05-2023 05:18:37
General,General,General,Reading Config File....,26-05-2023 05:18:41
General,General,General,Config Data has been added to dictionary,26-05-2023 05:18:43
General,General,General,Total Number of Transaction to be Processed:3,26-05-2023 05:18:45
General,General,General,Folder is Created at location for output folder:Data\Output\26-05-2023\NCARD_20,26-05-2023 05:18:45
General,General,General,Output Report File Creation Completed,26-05-2023 05:18:45
General,General,General,Website Accessible,26-05-2023 05:18:50
TR-1,General,Process,Processing Transaction Number:1,26-05-2023 05:18:54
TR-1,General,Process,Transaction Started for Transaction ID:TR-1,26-05-2023 05:18:54
TR-2,General,Process,Processing Transaction Number:2,26-05-2023 05:19:06
TR-2,General,Process,Transaction Started for Transaction ID:TR-2,26-05-2023 05:19:06
TR-3,General,Process,Processing Transaction Number:3,26-05-2023 05:19:16
TR-3,General,Process,Transaction Started for Transaction ID:TR-3,26-05-2023 05:19:16
General,General,Process,Dear Team,<br><br>Robot has started RPA Piramal Reports Automation.<br><br>Thanks and Regards,<br>
 RPA Team<br>-------------------------------------------------------------------<br>This is auto generated email, please do no reply on this email.,26-05-2023 05:20:44
General,General,General,Reading Config File....,26-05-2023 05:20:47
General,General,General,Config Data has been added to dictionary,26-05-2023 05:20:50
General,General,General,Total Number of Transaction to be Processed:3,26-05-2023 05:20:50
